id,english,japanese,line,source_url
f1487174-f065-446c-845b-4b0428e6b57e,Abiko,我孫子駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
d20d08d8-7bd3-4541-a390-35db1753f305,Ageo,上尾駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
fd1ce5a1-ff97-4548-a7e1-651b8f6972db,Aihara,相原駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
af81e672-ea41-4a77-a9b9-4633af7e3014,Aikō-Ishida,愛甲石田駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line
52b1ed83-69e1-4230-b563-8dbbbdf08f07,Ajiki,安食駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
b08a5db0-09d3-4675-b43c-a3cabf08442c,Ajiro,網代駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
3dc8aa47-37f2-4394-8ae1-fd9c8f7793d4,Akabane,赤羽駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
dfd68477-06ff-40c3-a133-1d73fb201723,Akabane-Iwabuchi,赤羽岩淵駅,Namboku Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Namboku_Line
e09797ee-b587-4f08-aec4-c23d9b0a34af,Akabanebashi,赤羽橋駅,Ōedo Line,https://en.wikipedia.org/wiki/Toei_%C5%8Cedo_Line
2b23a7a8-bc41-44aa-b25f-c12c6c41aa0b,Akasaka,赤坂駅,Chiyoda Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Chiyoda_Line
e5bc85ac-b606-4273-af24-99dbf6602294,Akasaka-mitsuke,赤坂見附駅,Ginza Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Ginza_Line
15df368b-d351-4747-ba48-578a0d13d249,Akatsuka,赤塚駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
481de5ac-8a6c-4a70-bc68-a2218b1051e2,Akebonobashi,曙橋駅,Shinjuku Line,https://en.wikipedia.org/wiki/Toei_Shinjuku_Line
5d9bb82c-e809-4d53-8cac-624cebd8fdcd,Akigawa,秋川駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
6637a7e6-2932-4bbf-a5ab-e03a3d1c391f,Akihabara,秋葉原駅,Hibiya Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Hibiya_Line
ef8547e6-7017-4262-997e-e8a539506ed5,Akishima,昭島駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
759f9fad-bec1-4c14-9b62-4332a39012f3,Akitsu,秋津駅,Seibu Ikebukuro Line,https://en.wikipedia.org/wiki/Seibu_Ikebukuro_Line
d61b47a0-ef4c-4595-ab68-8cfefdbc96e0,Anegasaki,姉ケ崎駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
2b04a0ab-31aa-414f-a226-42f82ca3c08b,Annaka,安中駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
4da78ae3-6ec9-4842-bb2a-c2a49e4fc2c1,Anzen,安善駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
0e8a43ff-d1dd-4779-bdc8-f9c2e51b901f,Aobadai,青葉台駅,Tokyu Den-en-toshi Line,https://en.wikipedia.org/wiki/Tokyu_Den-en-toshi_Line
6f135522-5b26-4c63-9915-7ceda36680e7,Aohori,青堀駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations
