origin_uuid,origin_name,destination_uuid,destination_name,travel_min,distance_km
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0067e594-a5c1-45ee-830e-1f7ff63c1524,Higashi-nihombashi,8.8,2.37
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0104cf9f-467b-422e-985e-165779e6da6f,Ashigara,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,02e262b1-1dee-4efc-97ca-e8a50ddc6781,Higashi-Kanagawa,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0316b7aa-4298-4857-b832-8926d5c2d34d,Chōshi,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,05215e3e-d319-4045-99b7-e19e516455bc,Hannō,72.2,74.94
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,06244887-55d9-49af-9af8-a904530b282b,Bakurochō,8.5,2.38
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,083e2441-1105-4279-8cfb-71c627aac0f7,Fujino,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,093cdf9c-a127-45cb-99f3-990c8eb5264c,Higashi-Matsuyama,69.4,75.77
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0e04f4ac-b2e2-4c49-ac08-3a74eab7ed91,Fujisawa,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0e363b85-3146-4852-99a3-bf850d2086c9,Hashimoto,13.8,8.76
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0e43def4-61ce-4602-9407-92a0245e5e11,Eda,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0e5fba0e-3a9b-4845-a39e-15056ed9c399,Fukiage,82.0,86.28
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0e8a43ff-d1dd-4779-bdc8-f9c2e51b901f,Aobadai,18.0,12.13
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,0f5bcbdf-688b-4b8f-a25d-877997950e98,Gunma-Yawata,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,10a0316f-985b-4a5d-8622-8f4e47985002,Harataima,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,1198cf19-b283-4efb-acf8-7473a61d44ce,Asano,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,12d94613-ba4b-4593-a102-f013e31acc0b,Banda,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,15df368b-d351-4747-ba48-578a0d13d249,Akatsuka,31.3,21.4
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,1611ab79-0b5b-4b59-b07d-4069d75b2713,Bakuro-yokoyama,7.3,1.79
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,1654dbe7-5170-415c-9c9e-e2b54c476c49,Higashi-Fuchū,38.8,31.04
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,168be05f-4a6f-4fc0-9025-64ee38fd6d9b,Dokkyodaigakumae,25.4,16.05
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,16f06299-6af4-423c-8d19-b2390d0b877e,Higashi-Tokorozawa,48.9,45.63
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,1857ed4c-75f3-4632-8936-e7f0e1b71a66,Fujimigaoka,30.3,20.97
16aff7c1-418e-4922-8d7b-aa0a9c60e830,Kayabachō,19a831ea-b718-414a-b455-3fb35da8907a,Aoyama-itchōme,15.6,9.21
